Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Ashok Leyland Ltd.,ASHOKLEY,5000.0,Automobile & Ancillaries,Automobiles-Trucks/Lcv,Mid Cap,229.47,-2.15,88225000.0,12.68,2.2,1.93,55905000.0,23690000.0,0.42,-0.07,AggressiveNewShort,"ASHOKLEY,",37.54,2024-07-03,0.0392
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,1300.0,Chemicals,Fertilizers,Small Cap,723.5,1.17,6674200.0,12.27,0.56,0.56,5180500.0,2615600.0,0.5,-0.06,NewLong,"GNFC,",37.45,2024-07-03,0.0429
Hindustan Copper Ltd.,HINDCOPPER,2650.0,Non - Ferrous Metals,Metal - Non Ferrous,Small Cap,325.3,2.44,44946650.0,11.05,1.32,0.95,16726800.0,8819200.0,0.53,-0.02,NewLong,"HINDCOPPER,",30.93,2024-07-03,0.096
Indiamart Intermesh Ltd.,INDIAMART,300.0,Information Technology,e-Commerce,Small Cap,2696.95,0.89,1209900.0,9.41,2.23,1.9,883500.0,372300.0,0.42,-0.4,AggressiveNewLong,"INDIAMART,",34.11,2024-07-03,0.0461
Shriram Finance Ltd.,SHRIRAMFIN,300.0,Finance,Finance - NBFC,Large Cap,2850.45,0.9,6174600.0,9.12,0.85,0.82,1339200.0,749400.0,0.56,-0.1,NewLong,"SHRIRAMFIN,",60.21,2024-07-03,0.0098
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,2000.0,Finance,Finance - NBFC,Mid Cap,303.4,0.31,41106000.0,9.08,2.31,1.98,11294000.0,6338000.0,0.56,-0.03,AggressiveNewLong,"M&MFIN,",40.19,2024-07-03,0.0931
JK Cement Ltd.,JKCEMENT,125.0,Construction Materials,Cement & Construction Materials,Mid Cap,4306.25,-0.68,687750.0,8.56,0.28,0.31,240875.0,106875.0,0.44,-0.05,NewShort,"JKCEMENT,",37.73,2024-07-03,0.034
IDFC First Bank Ltd.,IDFCFIRSTB,7500.0,Banking,Bank - Private,Mid Cap,80.88,2.52,430680000.0,8.27,2.35,1.55,188737500.0,97740000.0,0.52,0.01,AggressiveNewLong,"IDFCFIRSTB,",29.24,2024-07-03,0.0694
Zydus Lifesciences Ltd.,ZYDUSLIFE,900.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1095.25,1.92,14515200.0,8.06,1.59,1.31,2274300.0,1287000.0,0.57,0.06,AggressiveNewLong,"ZYDUSLIFE,",51.01,2024-07-03,0.008100000000000001
Ipca Laboratories Ltd.,IPCALAB,650.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1153.45,1.93,3015350.0,-7.74,1.01,0.71,958750.0,794950.0,0.83,-0.12,ShortCover,"IPCALAB,",37.03,2024-07-03,0.045700000000000005
AU Small Finance Bank Ltd.,AUBANK,1000.0,Banking,Bank - Private,Mid Cap,666.25,-1.05,25616000.0,7.43,1.21,0.69,6626000.0,4206000.0,0.63,-0.01,NewShort,"AUBANK,",26.1,2024-07-03,0.0454
