Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Metropolis Healthcare Ltd.,METROPOLIS,400.0,Healthcare,Hospital & Healthcare Services,Small Cap,2028.55,2.19,1486800.0,25.66,2.43,2.12,770800.0,349200.0,0.45,0.01,AggressiveNewLong,"METROPOLIS,",38.56,2024-06-06,0.053
Laurus Labs Ltd.,LAURUSLABS,1700.0,Healthcare,Pharmaceuticals & Drugs,Small Cap,428.9,0.65,14591100.0,16.68,1.88,2.11,3320100.0,1970300.0,0.59,0.02,AggressiveNewLong,"LAURUSLABS,",58.6,2024-06-06,0.038900000000000004
Power Grid Corporation Of India Ltd.,POWERGRID,3600.0,Power,Power Generation/Distribution,Large Cap,300.45,0.55,75718800.0,15.13,0.78,0.72,48765600.0,26298000.0,0.54,0.06,NewLong,"POWERGRID,",49.43,2024-06-06,0.0341
Exide Industries Ltd.,EXIDEIND,1800.0,Automobile & Ancillaries,Batteries,Mid Cap,527.85,7.49,21978000.0,12.92,1.9,1.43,14734800.0,9165600.0,0.62,0.03,AggressiveNewLong,"EXIDEIND,",23.6,2024-06-06,0.039599999999999996
Escorts Kubota Ltd.,ESCORTS,275.0,Automobile & Ancillaries,Automobiles-Tractors,Mid Cap,4011.0,2.61,1363175.0,11.04,1.55,1.28,430100.0,295900.0,0.69,0.0,AggressiveNewLong,"ESCORTS,",27.49,2024-06-06,0.0196
Mphasis Ltd.,MPHASIS,275.0,Information Technology,IT - Software,Mid Cap,2436.3,3.14,2482975.0,10.61,1.27,1.13,930600.0,455675.0,0.49,-0.21,AggressiveNewLong,"MPHASIS,",45.65,2024-06-06,0.0405
Indian Energy Exchange Ltd.,IEX,3750.0,Power,Power Generation/Distribution,Small Cap,162.55,3.57,59617500.0,9.43,2.69,2.85,41820000.0,22818750.0,0.55,-0.08,AggressiveNewLong,"IEX,",38.55,2024-06-06,0.0683
Biocon Ltd.,BIOCON,2500.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,332.75,9.01,43852500.0,9.26,1.92,1.99,12837500.0,8175000.0,0.64,0.0,AggressiveNewLong,"BIOCON,",40.15,2024-06-06,0.0693
Aditya Birla Fashion and Retail Ltd.,ABFRL,2600.0,Retailing,Retailing,Small Cap,322.2,5.64,31441800.0,8.55,1.79,2.06,12430600.0,10153000.0,0.82,0.13,AggressiveNewLong,"ABFRL,",34.18,2024-06-06,0.0499
UPL Ltd.,UPL,1300.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,537.4,1.69,33750600.0,8.15,1.47,1.02,12304500.0,7618000.0,0.62,0.0,AggressiveNewLong,"UPL,",37.89,2024-06-06,0.044800000000000006
Dabur India Ltd.,DABUR,1250.0,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,597.2,-0.51,22475000.0,8.11,0.7,0.65,9557500.0,7230000.0,0.76,-0.02,NewShort,"DABUR,",51.02,2024-06-06,0.0126
Asian Paints Ltd.,ASIANPAINT,200.0,Chemicals,Paints,Large Cap,2904.8,-1.92,12316200.0,8.1,0.85,0.67,4362000.0,2209800.0,0.51,-0.07,NewShort,"ASIANPAINT,",42.55,2024-06-06,0.021400000000000002
Apollo Tyres Ltd.,APOLLOTYRE,1700.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,471.0,0.18,14138900.0,7.76,0.73,0.69,4986100.0,3112700.0,0.62,-0.03,NewLong,"APOLLOTYRE,",46.24,2024-06-06,0.0654
